Source,Target,OSM ID,Highway,Oneway,Reversed,Length
26233234,208678573,465413249,primary,False,False,76.809
26233235,208687501,465413236,primary,False,True,14.6
26233235,208756312,465585477,primary,False,False,48.75
26235235,29796355,356391517,tertiary,True,False,203.33800000000002
26235236,208756329,329384213,tertiary,True,False,63.631
26235236,208756291,19891896,residential,True,False,118.64200000000001
26235237,3391132734,329384215,secondary,True,False,170.607
26235237,2889868395,329384216,tertiary,True,False,79.97800000000001
26235238,208773285,465416565,residential,True,False,78.081
26235238,26235237,"[300414148, 465418900]",tertiary,True,False,177.42399999999998
26235256,29796360,19896824,residential,True,False,206.067
26235256,26235235,1059975990,tertiary,True,False,119.483
29239090,208756336,329384209,tertiary,True,False,72.182
29239090,208756317,884573684,tertiary,True,False,202.019
29793292,208765244,4686990,tertiary,True,False,106.79700000000001
29793292,124062159,4886366,secondary,False,True,225.055
29793292,31776141,41258631,primary,False,False,112.41799999999999
29793292,31776716,465585475,primary,False,True,81.63
29793425,425952522,41258633,tertiary,True,False,29.562
29793425,209353772,456314148,secondary,True,False,65.359
29793978,229561222,329384201,tertiary,False,False,79.057
29793978,26233234,329384202,secondary,True,False,95.96900000000001
29793978,208678578,329384203,tertiary,False,True,78.863
29794278,29796364,465649271,residential,True,False,13.32
29794278,29794279,"[455083969, 455083967]",secondary,True,False,229.053
29794279,29794280,453959372,secondary,True,False,17.729
29794279,32125079,"[455083985, 1164019231]",secondary,True,False,115.15799999999999
29794280,29796362,1080289799,secondary,True,False,12.963
29794280,208687491,453981160,secondary,True,False,72.234
29794281,29796361,453981163,tertiary,False,True,12.628
29794281,208756285,"[455083987, 24221231]",tertiary,False,False,127.723
29794281,29794282,"[546096657, 453959371, 455083973]",secondary,True,False,152.221
29794282,29796360,112834519,residential,False,True,18.578
29794282,29793425,455083977,secondary,True,False,123.255
29795322,1768772432,19895959,residential,True,False,77.354
29795322,29795323,219132794,tertiary,True,False,83.69800000000001
29795323,3431833846,"[998268056, 19895490]",residential,True,False,169.74499999999998
29795323,26235238,219132794,tertiary,True,False,70.44500000000001
29796355,29793425,465424170,tertiary,True,False,16.996
29796355,29796360,455083974,secondary,True,False,123.092
29796359,32124410,"[41258626, 415626770, 415626772]",tertiary,True,False,398.509
29796359,29796355,"[456314146, 456314147]",secondary,True,False,114.828
29796360,29794282,112834519,residential,False,False,18.578
29796360,29796361,"[455083978, 546096658]",secondary,True,False,156.19799999999998
29796361,29794281,453981163,tertiary,False,False,12.628
29796361,262255346,24221232,residential,True,False,37.805
29796361,208687484,453981161,secondary,True,False,61.494
29796362,32125078,453963143,secondary,True,False,13.392
29796362,3191564091,"[575535139, 300627772]",secondary,True,False,153.598
29796364,208721919,422636128,residential,True,False,157.04600000000002
31776141,29793292,41258631,primary,False,True,112.418
31776715,208756312,184205746,primary,False,True,41.402
31776715,31776716,465585476,primary,False,False,83.124
31776716,29793292,465585475,primary,False,False,81.63
31776716,31776715,465585476,primary,False,True,83.124
32124407,3391132734,329384211,tertiary,True,False,80.218
32124407,2889868395,329384212,residential,True,False,172.757
32124408,208765391,19891896,residential,True,False,70.91099999999999
32124408,32124407,465416569,tertiary,True,False,68.26599999999999
32124410,1315075432,415626770,tertiary,True,False,39.781
32124410,1245728002,794905835,tertiary,True,False,53.321
32125078,29794279,233054870,secondary,True,False,13.342
32125078,29796364,"[385879098, 455083971]",secondary,True,False,233.237
32125079,32125171,112863359,unclassified,True,False,26.135
32125079,32125080,455083986,secondary,True,False,86.08699999999999
32125080,32125170,455083988,tertiary,False,False,22.279
32125080,427615136,456318008,secondary,True,False,77.805
32125170,32125080,455083988,tertiary,False,True,22.279
32125170,32125171,479572754,secondary,True,False,80.96700000000001
32125171,208687497,112863359,unclassified,True,False,70.514
32125171,29794280,479572754,secondary,True,False,116.23400000000001
124062159,29793292,4886366,secondary,False,False,225.055
208678573,208678578,19891259,residential,True,False,100.034
208678573,208687501,465413246,primary,False,False,68.443
208678573,26233234,465413249,primary,False,True,76.809
208678578,29793978,329384203,tertiary,False,False,78.863
208678578,32124407,329384204,residential,True,False,80.324
208678578,208765391,465414050,tertiary,False,True,67.769
208687484,208687491,455083964,residential,True,False,14.494
208687484,29796362,453963142,secondary,True,False,76.555
208687491,29794281,453981162,secondary,True,False,69.20899999999999
208687491,208687497,455083965,residential,True,False,117.937
208687497,208756285,112863359,unclassified,True,False,73.766
208687501,26233235,465413236,primary,False,False,14.6
208687501,208678573,465413246,primary,False,True,68.443
208710068,32125170,361607071,residential,True,False,167.605
208710068,208756285,"[456315709, 466675150]",tertiary,False,True,61.931
