Source,Target,OSM ID,Highway,Oneway,Reversed,Length
26233200,3398341090,34144392,secondary,True,False,8.183
26233200,3479927906,453989325,tertiary,True,False,52.672000000000004
26235235,9738612358,4320454,pedestrian,True,False,7.363
26235235,9738612357,356391517,tertiary,True,False,7.846
26235236,208756329,329384213,tertiary,True,False,63.631
26235236,9418204502,19891896,residential,True,False,75.62700000000001
26235237,1302782824,329384216,tertiary,True,False,36.638
26235256,9738612364,19896824,residential,True,False,6.217
26235256,9738612365,1059975990,tertiary,True,False,5.924
29239090,7181949569,329384209,tertiary,True,False,10.849
29239090,7181949559,884573684,tertiary,True,False,7.772
29784601,29794286,454215278,residential,True,False,13.877
29784601,3398373696,454215277,secondary,True,False,53.062999999999995
29793357,6916840872,126011883,tertiary,True,False,8.975
29793357,6916840877,332695584,secondary,True,False,9.186
29793425,425952522,41258633,tertiary,True,False,29.562
29793425,209353772,456314148,secondary,True,False,65.359
29793426,4333516447,205657782,residential,True,False,79.467
29793426,9039383507,41258633,tertiary,True,False,80.983
29794278,29796364,465649271,residential,True,False,13.32
29794278,1244402135,455083967,secondary,True,False,126.038
29794279,29794280,453959372,secondary,True,False,17.729
29794279,1946696113,1164019231,secondary,True,False,10.859
29794280,10054383431,453981160,secondary,True,False,8.626
29794280,29796362,1080289799,secondary,True,False,12.963
29794281,29796361,453981163,tertiary,False,True,12.628
29794281,10054383451,455083973,secondary,True,False,11.863
29794281,10054383450,24221231,tertiary,False,False,12.435
29794282,29796360,112834519,residential,False,True,18.578
29794282,11005799366,455083977,secondary,True,False,5.642
29794283,11060288747,41258628,secondary,True,False,5.489
29794283,29796359,456314149,tertiary,True,False,14.889
29794284,3398341082,39368249,secondary,True,False,10.052
29794284,9038500753,464943210,secondary,True,False,6.451
29794285,3398341050,454215276,secondary,True,False,7.88
29794285,29795957,464936535,secondary,True,False,14.597
29794286,9039280178,320900388,residential,True,False,10.097
29794421,10971777751,453989323,secondary,True,False,40.916
29795957,9038482911,332695584,secondary,True,False,10.556
29795957,9038482913,464936533,secondary,True,False,8.287
29796354,3398341084,4687530,secondary,True,False,9.576
29796354,29794284,464943211,secondary,True,False,13.104
29796355,29793425,465424170,tertiary,True,False,16.996
29796355,11005799368,455083974,secondary,True,False,117.468
29796359,11060288741,41258626,tertiary,True,False,8.798
29796359,11060288787,456314146,secondary,True,False,6.93
29796360,29794282,112834519,residential,False,False,18.578
